station,horizon,capacity_MW,sigma_y_W,fame_r2,uxgb_r2,persist_r2
1,H1,50,341.9,0.9503,0.9495,0.9242
1,H4,50,341.93,0.9358,0.8972,0.9242
1,H8,50,341.93,0.9141,0.8355,0.9242
1,H16,50,341.97,0.8955,0.744,0.9242
1,H32,50,342.01,0.912,0.5958,0.9244
1,H96,50,341.71,0.8967,0.1746,0.9244
2,H1,130,219.97,0.9558,0.9577,0.9359
2,H4,130,219.97,0.9439,0.9084,0.9359
2,H8,130,219.96,0.9398,0.8728,0.9359
2,H16,130,219.94,0.9326,0.8191,0.9359
2,H32,130,219.89,0.9305,0.7635,0.9358
2,H96,130,219.97,0.929,0.4117,0.9358
4,H1,130,246.22,0.9533,0.954,0.9416
4,H4,130,246.24,0.9428,0.8773,0.9416
4,H8,130,246.24,0.9389,0.789,0.9416
4,H16,130,246.27,0.9337,0.5878,0.9416
4,H32,130,246.33,0.931,0.2469,0.9417
4,H96,130,246.15,0.9311,-0.1033,0.9419
5,H1,110,299.02,0.91,0.9046,0.8869
5,H4,110,299.02,0.8984,0.8191,0.8869
5,H8,110,298.93,0.884,0.6989,0.8868
5,H16,110,298.83,0.8752,0.417,0.8867
5,H32,110,298.61,0.8627,0.3432,0.8865
5,H96,110,297.99,0.862,-0.0133,0.8877
6,H1,35,364.56,0.9229,0.9202,0.9005
6,H4,35,364.56,0.9126,0.8135,0.9005
6,H8,35,364.56,0.9042,0.7292,0.9004
6,H16,35,364.57,0.8965,0.6153,0.9004
6,H32,35,364.64,0.8951,0.5054,0.9005
6,H96,35,364.84,0.8936,0.2461,0.9006
7,H1,30,262.17,0.8206,0.8212,0.7859
7,H4,30,262.17,0.8122,0.6666,0.7859
7,H8,30,262.08,0.8065,0.6014,0.7857
7,H16,30,261.98,0.7988,0.4977,0.7855
7,H32,30,261.75,0.7976,0.3345,0.7851
7,H96,30,260.52,0.7902,0.1902,0.7826
8,H1,30,236.59,0.974,0.9766,0.9543
8,H4,30,236.59,0.9624,0.953,0.9543
8,H8,30,236.56,0.9538,0.901,0.9543
8,H16,30,236.5,0.9505,0.75,0.9542
8,H32,30,236.5,0.949,0.5318,0.9543
8,H96,30,236.66,0.947,0.1866,0.9544
