station,horizon,intercept,trend,daily,hourly,noise
1,H1,-0.0004,0.2296,0.2099,0.573,-0.0097
1,H4,-0.0005,0.0197,0.1454,0.3852,0.4593
1,H8,-0.0172,0.0994,0.157,0.2211,0.5615
1,H16,-0.0328,0.1351,0.0851,0.184,0.6731
1,H32,-0.0276,0.0932,0.0885,0.1352,0.7438
1,H96,-0.0683,0.1435,0.0806,0.104,0.8065
2,H1,0.0,0.2559,0.1937,0.4755,0.0812
2,H4,0.0052,0.0229,0.1723,0.1066,0.6962
2,H8,-0.0038,0.0668,0.0763,0.1074,0.7642
2,H16,-0.0152,0.113,0.0493,0.0568,0.8222
2,H32,-0.0162,0.109,0.0417,0.0384,0.856
2,H96,-0.028,0.1122,0.0327,0.0496,0.8921
4,H1,-0.0007,0.3614,0.1428,0.4406,0.0594
4,H4,-0.0011,0.0145,0.109,0.1806,0.7003
4,H8,-0.0032,-0.0067,0.1115,0.1232,0.7824
4,H16,-0.0016,0.0217,0.0457,0.0891,0.8517
4,H32,-0.0107,0.0753,0.0489,0.0221,0.8744
4,H96,-0.0322,0.1173,0.0447,0.0083,0.903
5,H1,-0.0099,0.2818,0.4105,0.329,-0.006
5,H4,-0.0012,-0.0353,0.3192,0.2107,0.5026
5,H8,-0.0008,-0.0109,0.1991,0.1883,0.6183
5,H16,-0.0104,0.0603,0.1444,0.0915,0.7214
5,H32,-0.0342,0.2549,-0.0379,0.0812,0.7804
5,H96,-0.0641,0.2611,-0.042,0.0834,0.8221
6,H1,0.0003,0.04,0.4625,0.4423,0.0418
6,H4,-0.0017,0.0109,0.2827,0.0229,0.6855
6,H8,-0.0097,0.0802,0.1155,0.0848,0.7466
6,H16,-0.026,0.1429,0.0474,0.0584,0.8181
6,H32,-0.0274,0.1537,0.0208,0.0377,0.8459
6,H96,-0.0438,0.1369,0.0608,0.022,0.8844
7,H1,0.0047,0.1589,0.0235,0.7255,0.1157
7,H4,0.005,0.033,-0.0304,0.32,0.6876
7,H8,-0.032,0.0566,0.1187,0.2092,0.7386
7,H16,-0.0118,0.0945,0.0277,0.1461,0.7928
7,H32,-0.0317,0.0967,-0.0024,0.1577,0.7991
7,H96,-0.0252,0.039,0.0287,0.1467,0.8458
8,H1,-0.0008,0.232,0.2495,0.4926,0.0308
8,H4,-0.001,0.0366,0.2675,0.2865,0.4168
8,H8,-0.0018,0.0375,0.119,0.1865,0.6671
8,H16,-0.0037,0.0752,-0.0124,0.0964,0.8566
8,H32,-0.0203,0.1545,0.015,-0.012,0.9009
8,H96,-0.037,0.1034,0.0815,0.0092,0.9103
