station,horizon,fame_r2,fame_rmse_W,fame_mae_W,uxgb_r2,uxgb_rmse_W,uxgb_mae_W
1,H1,0.9503,76.22,39.26,0.9495,76.85,38.71
1,H4,0.9358,86.61,54.53,0.8972,109.65,65.74
1,H8,0.9141,100.23,71.83,0.8355,138.69,91.61
1,H16,0.8955,110.54,84.35,0.744,173.04,125.44
1,H32,0.912,101.48,74.71,0.5958,217.45,165.3
1,H96,0.8967,109.82,85.88,0.1746,310.46,257.08
2,H1,0.9558,46.24,24.63,0.9577,45.22,22.95
2,H4,0.9439,52.11,34.99,0.9084,66.57,39.31
2,H8,0.9398,53.97,37.23,0.8728,78.46,52.49
2,H16,0.9326,57.09,41.26,0.8191,93.55,67.38
2,H32,0.9305,57.96,42.01,0.7635,106.93,80.28
2,H96,0.929,58.6,42.08,0.4117,168.72,138.29
4,H1,0.9533,53.23,30.62,0.954,52.81,30.07
4,H4,0.9428,58.88,38.76,0.8773,86.25,56.49
4,H8,0.9389,60.87,41.23,0.789,113.1,80.23
4,H16,0.9337,63.41,44.65,0.5878,158.1,120.08
4,H32,0.931,64.72,46.49,0.2469,213.77,170.54
4,H96,0.9311,64.59,45.21,-0.1033,258.55,216.39
5,H1,0.91,89.73,50.06,0.9046,92.36,53.05
5,H4,0.8984,95.29,58.89,0.8191,127.19,85.81
5,H8,0.884,101.83,68.59,0.6989,164.02,121.21
5,H16,0.8752,105.58,72.6,0.417,228.17,176.22
5,H32,0.8627,110.66,75.67,0.3432,241.99,195.32
5,H96,0.862,110.71,76.4,-0.0133,299.96,248.58
6,H1,0.9229,101.24,56.45,0.9202,103.0,57.4
6,H4,0.9126,107.75,67.48,0.8135,157.43,104.69
6,H8,0.9042,112.83,74.62,0.7292,189.73,135.85
6,H16,0.8965,117.28,81.57,0.6153,226.11,170.96
6,H32,0.8951,118.1,81.3,0.5054,256.45,197.66
6,H96,0.8936,119.01,81.76,0.2461,316.78,254.48
7,H1,0.8206,111.04,67.91,0.8212,110.86,68.67
7,H4,0.8122,113.61,74.51,0.6666,151.39,103.67
7,H8,0.8065,115.27,78.19,0.6014,165.46,118.69
7,H16,0.7988,117.52,80.98,0.4977,185.68,137.4
7,H32,0.7976,117.77,81.62,0.3345,213.53,169.5
7,H96,0.7902,119.32,81.23,0.1902,234.44,190.64
8,H1,0.974,38.15,26.55,0.9766,36.16,25.53
8,H4,0.9624,45.89,33.9,0.953,51.28,37.98
8,H8,0.9538,50.84,39.14,0.901,74.45,56.69
8,H16,0.9505,52.62,40.86,0.75,118.25,90.8
8,H32,0.949,53.38,41.82,0.5318,161.82,124.87
8,H96,0.947,54.47,42.53,0.1866,213.44,173.92
