station,horizon,fame_r2_absdiff,uxgb_r2_absdiff
1,H1,8.45e-06,1.581e-05
1,H4,3.937e-05,3.911e-05
1,H8,3.172e-05,1.365e-05
1,H16,1.588e-05,4.15e-05
1,H32,4.69e-05,4.36e-05
1,H96,7.73e-06,3.123e-05
2,H1,1.43e-05,3.824e-05
2,H4,1.73e-05,2.041e-05
2,H8,1.63e-06,4.215e-05
2,H16,1.518e-05,1.52e-06
2,H32,3.547e-05,1.893e-05
2,H96,2.515e-05,2.196e-05
4,H1,3.798e-05,4.96e-06
4,H4,3.301e-05,1.45e-05
4,H8,4.56e-06,4.281e-05
4,H16,3.08e-06,2.868e-05
4,H32,2.542e-05,1.196e-05
4,H96,3.983e-05,2.576e-05
5,H1,4.634e-05,1.85e-06
5,H4,4.423e-05,3.974e-05
5,H8,4.899e-05,4.123e-05
5,H16,3.513e-05,2.094e-05
5,H32,2.307e-05,3.87e-05
5,H96,3.164e-05,2.933e-05
6,H1,2.487e-05,2.401e-05
6,H4,4.744e-05,1.515e-05
6,H8,9.91e-06,4.673e-05
6,H16,1.435e-05,3.774e-05
6,H32,2.34e-06,1.222e-05
6,H96,6.21e-06,1.438e-05
7,H1,1.3e-07,1.657e-05
7,H4,6.13e-06,3.75e-05
7,H8,4.868e-05,1.8e-06
7,H16,3.868e-05,1.295e-05
7,H32,4.639e-05,2.951e-05
7,H96,1.449e-05,2.481e-05
8,H1,1.65e-06,4.012e-05
8,H4,1.861e-05,1.575e-05
8,H8,1.847e-05,4.431e-05
8,H16,7.17e-06,1.295e-05
8,H32,4.655e-05,3.71e-06
8,H96,2.027e-05,9.67e-06
