scope,model,n,mean_skill,boot_ci95_lo,boot_ci95_hi,n_boot
H1,Proposed (FAME),7,0.26819,0.205787,0.33852,10000
H1,Unified XGBoost,7,0.270719,0.194172,0.359711,10000
H1,Persistence,7,0.0,0.0,0.0,10000
H4,Proposed (FAME),7,0.117696,0.080903,0.14763,10000
H4,Unified XGBoost,7,-0.563504,-0.804881,-0.317968,10000
H4,Persistence,7,0.0,0.0,0.0,10000
H8,Proposed (FAME),7,-0.002682,-0.057761,0.048779,10000
H8,Unified XGBoost,7,-1.453352,-1.89604,-1.088665,10000
H8,Persistence,7,0.0,0.0,0.0,10000
H16,Proposed (FAME),7,-0.103737,-0.208589,-0.021047,10000
H16,Unified XGBoost,7,-3.296471,-4.506823,-2.210119,10000
H16,Persistence,7,0.0,0.0,0.0,10000
H32,Proposed (FAME),7,-0.107335,-0.165065,-0.039588,10000
H32,Unified XGBoost,7,-5.577875,-8.288299,-3.357856,10000
H32,Persistence,7,0.0,0.0,0.0,10000
H96,Proposed (FAME),7,-0.154917,-0.242855,-0.068796,10000
H96,Unified XGBoost,7,-10.03774,-13.871453,-6.441479,10000
H96,Persistence,7,0.0,0.0,0.0,10000
