model,nominal_pct,horizon,mean_empirical_pct,mean_width_W,mean_calibration_error_pp,mean_winkler_W
Persistence,9.500000e+01,H1,9.717940e+01,427.5943,2.179400e+00,507.563
Persistence,9.500000e+01,H16,9.717830e+01,427.6895,2.178300e+00,507.6667
Persistence,9.500000e+01,H32,9.717710e+01,427.3324,2.177100e+00,507.6266
Persistence,9.500000e+01,H4,9.717940e+01,427.5943,2.179400e+00,507.5645
Persistence,9.500000e+01,H8,9.717920e+01,427.6895,2.179200e+00,507.6378
Persistence,9.500000e+01,H96,9.717720e+01,425.9524,2.177200e+00,506.1991
Proposed (FAME),9.500000e+01,H1,9.740470e+01,386.7788,2.404700e+00,449.5327
Proposed (FAME),9.500000e+01,H16,9.696030e+01,413.4233,1.960300e+00,485.1506
Proposed (FAME),9.500000e+01,H32,9.691840e+01,412.1975,1.918400e+00,483.7962
Proposed (FAME),9.500000e+01,H4,9.729950e+01,397.0879,2.299500e+00,461.5341
Proposed (FAME),9.500000e+01,H8,9.714920e+01,406.9631,2.149200e+00,474.5086
Proposed (FAME),9.500000e+01,H96,9.732970e+01,421.7428,2.329700e+00,487.6854
Unified XGBoost,9.500000e+01,H1,9.715040e+01,381.6965,2.150400e+00,451.0428
Unified XGBoost,9.500000e+01,H16,9.584450e+01,727.3882,8.445000e-01,852.4518
Unified XGBoost,9.500000e+01,H32,9.707220e+01,860.8229,2.072200e+00,941.1635
Unified XGBoost,9.500000e+01,H4,9.689150e+01,524.4722,1.891500e+00,617.1616
Unified XGBoost,9.500000e+01,H8,9.631010e+01,612.8021,1.310100e+00,722.2351
Unified XGBoost,9.500000e+01,H96,9.707480e+01,1025.9892,2.074800e+00,1104.2577
