variant,horizon,mean_skill,mean_rmse_W
[ORACLE] best_single per pair,H1,0.298108,59.035191
[ORACLE] best_single per pair,H16,0.0,70.201219
[ORACLE] best_single per pair,H32,0.0,70.200374
[ORACLE] best_single per pair,H4,0.0,70.195254
[ORACLE] best_single per pair,H8,0.0,70.195763
[ORACLE] best_single per pair,H96,0.0,70.129235
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H1,0.309504,58.561953
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H16,-0.002143,70.127758
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H32,-0.01414,70.727423
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H4,0.1185,65.8592
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H8,0.037184,68.563588
"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",H96,-0.001775,70.138663
"equal_average(uxgb,pers)",H1,0.250404,60.932221
"equal_average(uxgb,pers)",H16,-1.105376,97.286665
"equal_average(uxgb,pers)",H32,-1.798573,110.211546
"equal_average(uxgb,pers)",H4,0.031188,68.791401
"equal_average(uxgb,pers)",H8,-0.334794,79.480739
"equal_average(uxgb,pers)",H96,-3.026041,131.630733
"proposed (manuscript, no test access)",H1,0.316149,58.214968
"proposed (manuscript, no test access)",H16,-0.277323,79.367553
"proposed (manuscript, no test access)",H32,-0.289176,79.231895
"proposed (manuscript, no test access)",H4,0.098243,66.484062
"proposed (manuscript, no test access)",H8,-0.100188,73.539209
"proposed (manuscript, no test access)",H96,-0.221761,77.450485
