station,horizon,variant,comparison_class,r2,rmse_W,mae_W,skill,convex_weight_uxgb,n_eval
1,H1,"proposed (manuscript, no test access)",fair,0.951412,69.8782,38.534419,0.379151,,2611
1,H1,"equal_average(uxgb,pers)",fair,0.945335,74.119696,45.930939,0.301495,,2611
1,H1,[ORACLE] best_single per pair,oracle,0.950109,70.808952,38.311445,0.362502,,2611
1,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.95067,70.41024,38.270244,0.369661,0.86,2611
1,H4,"proposed (manuscript, no test access)",fair,0.932304,82.48216,55.466189,0.134987,,2611
1,H4,"equal_average(uxgb,pers)",fair,0.931873,82.744561,55.652992,0.129475,,2611
1,H4,[ORACLE] best_single per pair,oracle,0.92174,88.684714,63.913826,0.0,,2611
1,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.934495,81.136364,55.847192,0.162984,0.39,2611
1,H8,"proposed (manuscript, no test access)",fair,0.902019,99.231634,76.727315,-0.251995,,2611
1,H8,"equal_average(uxgb,pers)",fair,0.911349,94.388984,67.977484,-0.132779,,2611
1,H8,[ORACLE] best_single per pair,oracle,0.92174,88.684714,63.913826,0.0,,2611
1,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.927749,85.211666,62.199142,0.07679,0.23,2611
1,H16,"proposed (manuscript, no test access)",fair,0.87017,114.221221,94.217921,-0.658756,,2610
1,H16,"equal_average(uxgb,pers)",fair,0.875371,111.91008,86.442606,-0.592309,,2610
1,H16,[ORACLE] best_single per pair,oracle,0.92173,88.686097,63.905747,0.0,,2610
1,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.920836,89.191429,66.642343,-0.011428,0.14,2610
1,H32,"proposed (manuscript, no test access)",fair,0.898621,100.938951,79.581777,-0.295434,,2609
1,H32,"equal_average(uxgb,pers)",fair,0.825775,132.324584,105.066754,-1.226275,,2609
1,H32,[ORACLE] best_single per pair,oracle,0.921742,88.685198,63.895362,0.0,,2609
1,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.919572,89.906311,66.752772,-0.027728,0.09,2609
1,H96,"proposed (manuscript, no test access)",fair,0.890487,105.000924,84.302076,-0.400974,,2604
1,H96,"equal_average(uxgb,pers)",fair,0.710831,170.622687,142.981289,-2.699282,,2604
1,H96,[ORACLE] best_single per pair,oracle,0.921831,88.71112,63.87788,0.0,,2604
1,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.921177,89.081449,64.863051,-0.008367,0.02,2604
2,H1,"proposed (manuscript, no test access)",fair,0.930387,49.259812,28.205036,0.280038,,2528
2,H1,"equal_average(uxgb,pers)",fair,0.92557,50.935545,30.32564,0.230222,,2528
2,H1,[ORACLE] best_single per pair,oracle,0.933069,48.301719,26.551568,0.307772,,2528
2,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.932615,48.465021,26.823807,0.303084,0.88,2528
2,H4,"proposed (manuscript, no test access)",fair,0.913785,54.819971,37.65572,0.108336,,2528
2,H4,"equal_average(uxgb,pers)",fair,0.913565,54.889967,36.124315,0.106057,,2528
2,H4,[ORACLE] best_single per pair,oracle,0.90331,58.054793,37.862773,0.0,,2528
