source,station,band,manuscript_label,energy_share,variance,n_samples,peak_period_h,centroid_period_h,median_power_period_h,in_band_energy_frac,total_power
saved_whole_series,1,cA3,trend,0.941487,0.121062,34842,1.462857e+01,3.635949e+01,1.329870e+01,0.995194,4.998075e+02
saved_whole_series,1,cD3,daily,0.020984,0.002698,34842,3.292605e+00,3.050813e+00,3.020649e+00,0.745098,1.089544e+01
saved_whole_series,1,cD2,hourly,0.016155,0.002077,34842,1.408528e+00,1.456303e+00,1.398907e+00,0.735223,8.782575e+00
saved_whole_series,1,cD1,noise,0.021374,0.002748,34842,5.644980e-01,7.379720e-01,6.895620e-01,0.898745,1.187812e+01
saved_whole_series,5,cA3,trend,0.919305,0.087411,33391,1.024000e+03,9.630123e+01,1.329870e+01,0.994705,3.489494e+02
saved_whole_series,5,cD3,daily,0.022919,0.002179,33391,3.792593e+00,2.972264e+00,2.884507e+00,0.73895,9.445340e+00
saved_whole_series,5,cD2,hourly,0.02359,0.002243,33391,1.656958e+00,1.455566e+00,1.398907e+00,0.734748,9.773049e+00
saved_whole_series,5,cD1,noise,0.034185,0.00325,33391,7.032970e-01,7.402770e-01,6.914250e-01,0.892717,1.416766e+01
saved_whole_series,6,cA3,trend,0.937041,0.124345,34151,1.296203e+01,8.097855e+01,1.248780e+01,0.99279,4.758202e+02
saved_whole_series,6,cD3,daily,0.029565,0.003923,34151,3.261146e+00,3.028409e+00,2.985423e+00,0.732736,1.657799e+01
saved_whole_series,6,cD2,hourly,0.018469,0.002451,34151,1.572965e+00,1.498559e+00,1.462857e+00,0.739284,1.075078e+01
saved_whole_series,6,cD1,noise,0.014926,0.001981,34151,7.490860e-01,7.662090e-01,7.277900e-01,0.876213,8.726182e+00
causal_trailing_window,1,cA3,trend,0.970542,0.122917,34842,1.462857e+01,3.573156e+01,1.312820e+01,0.977238,5.067165e+02
causal_trailing_window,1,cD3,daily,0.00352,0.000446,34842,1.462857e+01,5.419051e+00,3.401993e+00,0.583239,1.728916e+00
causal_trailing_window,1,cD2,hourly,0.023997,0.003039,34842,1.462857e+01,2.415154e+00,1.412414e+00,0.408273,1.292348e+01
causal_trailing_window,1,cD1,noise,0.001941,0.000246,34842,5.644980e-01,7.434070e-01,6.826670e-01,0.896738,1.025840e+00
causal_trailing_window,2,cA3,trend,0.97497,0.062001,33739,1.402740e+01,4.874742e+01,1.329870e+01,0.97878,2.545176e+02
causal_trailing_window,2,cD3,daily,0.003159,0.000201,33739,1.402740e+01,5.427392e+00,3.413333e+00,0.581773,8.483030e-01
causal_trailing_window,2,cD2,hourly,0.020523,0.001305,33739,1.402740e+01,2.596059e+00,1.535232e+00,0.4291,5.627506e+00
causal_trailing_window,2,cD1,noise,0.001348,8.6e-05,33739,6.232500e-01,7.635600e-01,6.932970e-01,0.871097,3.593060e-01
causal_trailing_window,4,cA3,trend,0.976232,0.079855,32356,1.329870e+01,1.000520e+02,1.329870e+01,0.979151,3.226910e+02
causal_trailing_window,4,cD3,daily,0.002964,0.000242,32356,1.329870e+01,5.167559e+00,3.292605e+00,0.594123,1.055709e+00
causal_trailing_window,4,cD2,hourly,0.019698,0.001611,32356,1.329870e+01,2.458398e+00,1.565749e+00,0.473115,7.205386e+00
causal_trailing_window,4,cD1,noise,0.001106,9e-05,32356,8.018790e-01,7.918260e-01,7.196060e-01,0.842999,3.962930e-01
causal_trailing_window,5,cA3,trend,0.959415,0.089583,33391,1.024000e+03,9.370349e+01,1.312820e+01,0.968377,3.583674e+02
causal_trailing_window,5,cD3,daily,0.003612,0.000337,33391,1.312820e+01,4.664438e+00,3.160494e+00,0.638875,1.446633e+00
causal_trailing_window,5,cD2,hourly,0.034021,0.003177,33391,1.312820e+01,1.941420e+00,1.311140e+00,0.452266,1.382548e+01
causal_trailing_window,5,cD1,noise,0.002951,0.000276,33391,7.032970e-01,7.378590e-01,6.745720e-01,0.891523,1.191062e+00
causal_trailing_window,6,cA3,trend,0.968321,0.127886,34151,1.296203e+01,7.852105e+01,1.248780e+01,0.966227,4.905039e+02
causal_trailing_window,6,cD3,daily,0.004596,0.000607,34151,1.296203e+01,4.512813e+00,3.313916e+00,0.658475,2.426173e+00
causal_trailing_window,6,cD2,hourly,0.025771,0.003404,34151,1.296203e+01,2.407971e+00,1.627981e+00,0.451946,1.486607e+01
causal_trailing_window,6,cD1,noise,0.001312,0.000173,34151,7.745840e-01,7.960330e-01,7.201130e-01,0.836124,7.439610e-01
causal_trailing_window,7,cA3,trend,0.947106,0.087312,32151,1.204706e+01,5.843251e+01,1.204706e+01,0.946061,3.490028e+02
causal_trailing_window,7,cD3,daily,0.006713,0.000619,32151,1.204706e+01,3.997878e+00,3.121951e+00,0.70884,2.530046e+00
causal_trailing_window,7,cD2,hourly,0.043596,0.004019,32151,1.872029e+00,2.094143e+00,1.568147e+00,0.465762,1.760153e+01
causal_trailing_window,7,cD1,noise,0.002585,0.000238,32151,7.670410e-01,7.880030e-01,7.191010e-01,0.847836,9.848810e-01
causal_trailing_window,8,cA3,trend,0.99035,0.063715,33079,1.264198e+01,7.738651e+01,1.264198e+01,0.994468,2.567987e+02
causal_trailing_window,8,cD3,daily,0.001469,9.5e-05,33079,1.264198e+01,8.077155e+00,5.361257e+00,0.2888,3.816520e-01
causal_trailing_window,8,cD2,hourly,0.007574,0.000487,33079,1.264198e+01,4.109937e+00,1.577812e+00,0.288604,2.038566e+00
causal_trailing_window,8,cD1,noise,0.000607,3.9e-05,33079,7.101250e-01,7.268490e-01,6.589450e-01,0.915447,1.620380e-01
