station,band,nperseg,argmax_period_h,in_band_energy_frac
5,cA3,512,1.280000e+01,0.967756
5,cD3,512,1.280000e+01,0.641759
5,cD2,512,1.280000e+01,0.458058
5,cD1,512,5.565220e-01,0.891847
5,cA3,1024,1.280000e+01,0.968775
5,cD3,1024,1.280000e+01,0.633857
5,cD2,1024,1.280000e+01,0.450489
5,cD1,1024,5.565220e-01,0.891662
5,cA3,2048,1.312820e+01,0.968218
5,cD3,2048,1.312820e+01,0.635683
5,cD2,2048,1.312820e+01,0.451734
5,cD1,2048,5.577340e-01,0.892575
5,cA3,4096,1.024000e+03,0.968377
5,cD3,4096,1.312820e+01,0.638875
5,cD2,4096,1.312820e+01,0.452266
5,cD1,4096,7.032970e-01,0.891523
5,cA3,8192,2.048000e+03,0.968634
5,cD3,8192,1.347368e+01,0.629425
5,cD2,8192,2.178723e+00,0.455606
5,cD1,8192,5.578860e-01,0.892497
