station,horizon,n_test,fame_r2_recomputed,fame_rmse_W_recomputed,fame_mae_W_recomputed,uxgb_r2_recomputed,uxgb_rmse_W_recomputed,uxgb_mae_W_recomputed,fame_r2_reported,fame_r2_absdiff,fame_rmse_W_reported,fame_rmse_W_absdiff,fame_mae_W_reported,fame_mae_W_absdiff,uxgb_r2_reported,uxgb_r2_absdiff,uxgb_rmse_W_reported,uxgb_rmse_W_absdiff,uxgb_mae_W_reported,uxgb_mae_W_absdiff,fame_r2_agrees,fame_rmse_W_agrees,fame_mae_W_agrees,uxgb_r2_agrees,uxgb_rmse_W_agrees,uxgb_mae_W_agrees,all_metrics_agree
1,H1,5222,0.950308,76.215756,39.263708,0.949484,76.845277,38.710082,0.9503,8e-06,76.22,0.004244,39.26,0.003708,0.9495,1.6e-05,76.85,0.004723,38.71,8.2e-05,True,True,True,True,True,True,True
1,H4,5221,0.935839,86.61159,54.531192,0.897161,109.653089,65.740511,0.9358,3.9e-05,86.61,0.00159,54.53,0.001192,0.8972,3.9e-05,109.65,0.003089,65.74,0.000511,True,True,True,True,True,True,True
1,H8,5221,0.914068,100.234789,71.825747,0.835486,138.689213,91.612896,0.9141,3.2e-05,100.23,0.004789,71.83,0.004253,0.8355,1.4e-05,138.69,0.000787,91.61,0.002896,True,True,True,True,True,True,True
1,H16,5220,0.895516,110.537014,84.351386,0.743959,173.036515,125.437527,0.8955,1.6e-05,110.54,0.002986,84.35,0.001386,0.744,4.1e-05,173.04,0.003485,125.44,0.002473,True,True,True,True,True,True,True
1,H32,5217,0.911953,101.484817,74.713799,0.595756,217.453102,165.296992,0.912,4.7e-05,101.48,0.004817,74.71,0.003799,0.5958,4.4e-05,217.45,0.003102,165.3,0.003008,True,True,True,True,True,True,True
1,H96,5208,0.896708,109.823807,85.883874,0.174569,310.458133,257.076623,0.8967,8e-06,109.82,0.003807,85.88,0.003874,0.1746,3.1e-05,310.46,0.001867,257.08,0.003377,True,True,True,True,True,True,True
2,H1,5056,0.955814,46.238245,24.630813,0.957738,45.22039,22.946068,0.9558,1.4e-05,46.24,0.001755,24.63,0.000813,0.9577,3.8e-05,45.22,0.00039,22.95,0.003932,True,True,True,True,True,True,True
2,H4,5056,0.943883,52.108535,34.98676,0.90842,66.567132,39.31411,0.9439,1.7e-05,52.11,0.001465,34.99,0.00324,0.9084,2e-05,66.57,0.002868,39.31,0.00411,True,True,True,True,True,True,True
2,H8,5055,0.939798,53.968635,37.23402,0.872758,78.460812,52.489794,0.9398,2e-06,53.97,0.001365,37.23,0.00402,0.8728,4.2e-05,78.46,0.000812,52.49,0.000206,True,True,True,True,True,True,True
2,H16,5054,0.932615,57.092737,41.257031,0.819098,93.545077,67.376231,0.9326,1.5e-05,57.09,0.002737,41.26,0.002969,0.8191,2e-06,93.55,0.004923,67.38,0.003769,True,True,True,True,True,True,True
2,H32,5052,0.930535,57.955328,42.014495,0.763519,106.932569,80.281846,0.9305,3.5e-05,57.96,0.004672,42.01,0.004495,0.7635,1.9e-05,106.93,0.002569,80.28,0.001846,True,True,True,True,True,True,True
2,H96,5042,0.929025,58.602443,42.077262,0.411678,168.721731,138.290025,0.929,2.5e-05,58.6,0.002443,42.08,0.002738,0.4117,2.2e-05,168.72,0.001731,138.29,2.5e-05,True,True,True,True,True,True,True
4,H1,4849,0.953262,53.230818,30.619588,0.953995,52.811742,30.068548,0.9533,3.8e-05,53.23,0.000818,30.62,0.000412,0.954,5e-06,52.81,0.001742,30.07,0.001452,True,True,True,True,True,True,True
4,H4,4848,0.942833,58.875468,38.762271,0.877314,86.249844,56.492562,0.9428,3.3e-05,58.88,0.004532,38.76,0.002271,0.8773,1.4e-05,86.25,0.000156,56.49,0.002562,True,True,True,True,True,True,True
4,H8,4848,0.938895,60.869327,41.226605,0.789043,113.099025,80.226725,0.9389,5e-06,60.87,0.000673,41.23,0.003395,0.789,4.3e-05,113.1,0.000975,80.23,0.003275,True,True,True,True,True,True,True
4,H16,4847,0.933697,63.411731,44.64639,0.587829,158.103561,120.082529,0.9337,3e-06,63.41,0.001731,44.65,0.00361,0.5878,2.9e-05,158.1,0.003561,120.08,0.002529,True,True,True,True,True,True,True
4,H32,4844,0.930975,64.718381,46.490794,0.246888,213.773015,170.536031,0.931,2.5e-05,64.72,0.001619,46.49,0.000794,0.2469,1.2e-05,213.77,0.003015,170.54,0.003969,True,True,True,True,True,True,True
4,H96,4835,0.93114,64.59318,45.212438,-0.103274,258.549888,216.392535,0.9311,4e-05,64.59,0.00318,45.21,0.002438,-0.1033,2.6e-05,258.55,0.000112,216.39,0.002535,True,True,True,True,True,True,True
5,H1,5004,0.909954,89.727794,50.059932,0.904598,92.357538,53.050151,0.91,4.6e-05,89.73,0.002206,50.06,6.8e-05,0.9046,2e-06,92.36,0.002462,53.05,0.000151,True,True,True,True,True,True,True
5,H4,5004,0.898444,95.289762,58.887445,0.81906,127.192331,85.810984,0.8984,4.4e-05,95.29,0.000238,58.89,0.002555,0.8191,4e-05,127.19,0.002331,85.81,0.000984,True,True,True,True,True,True,True
5,H8,5003,0.883951,101.83247,68.585354,0.698941,164.017897,121.208569,0.884,4.9e-05,101.83,0.00247,68.59,0.004646,0.6989,4.1e-05,164.02,0.002103,121.21,0.001431,True,True,True,True,True,True,True
5,H16,5002,0.875165,105.582052,72.599709,0.416979,228.172745,176.217952,0.8752,3.5e-05,105.58,0.002052,72.6,0.000291,0.417,2.1e-05,228.17,0.002745,176.22,0.002048,True,True,True,True,True,True,True
5,H32,5000,0.862677,110.655611,75.670524,0.343239,241.994482,195.320591,0.8627,2.3e-05,110.66,0.004389,75.67,0.000524,0.3432,3.9e-05,241.99,0.004482,195.32,0.000591,True,True,True,True,True,True,True
5,H96,4990,0.861968,110.711876,76.399484,-0.013271,299.962953,248.578257,0.862,3.2e-05,110.71,0.001876,76.4,0.000516,-0.0133,2.9e-05,299.96,0.002953,248.58,0.001743,True,True,True,True,True,True,True
6,H1,5118,0.922875,101.241915,56.452682,0.920176,102.998268,57.400551,0.9229,2.5e-05,101.24,0.001915,56.45,0.002682,0.9202,2.4e-05,103.0,0.001732,57.4,0.000551,True,True,True,True,True,True,True
6,H4,5118,0.912647,107.745949,67.480917,0.813515,157.429068,104.685207,0.9126,4.7e-05,107.75,0.004051,67.48,0.000917,0.8135,1.5e-05,157.43,0.000932,104.69,0.004793,True,True,True,True,True,True,True
6,H8,5117,0.90421,112.830976,74.623269,0.729153,189.72731,135.851608,0.9042,1e-05,112.83,0.000976,74.62,0.003269,0.7292,4.7e-05,189.73,0.00269,135.85,0.001608,True,True,True,True,True,True,True
6,H16,5116,0.896514,117.279613,81.571288,0.615338,226.111293,170.955984,0.8965,1.4e-05,117.28,0.000387,81.57,0.001288,0.6153,3.8e-05,226.11,0.001293,170.96,0.004016,True,True,True,True,True,True,True
6,H32,5114,0.895102,118.09864,81.303768,0.505388,256.445101,197.664688,0.8951,2e-06,118.1,0.00136,81.3,0.003768,0.5054,1.2e-05,256.45,0.004899,197.66,0.004688,True,True,True,True,True,True,True
6,H96,5104,0.893606,119.005336,81.763492,0.246114,316.782383,254.47694,0.8936,6e-06,119.01,0.004664,81.76,0.003492,0.2461,1.4e-05,316.78,0.002383,254.48,0.00306,True,True,True,True,True,True,True
7,H1,4818,0.8206,111.042548,67.910739,0.821183,110.861797,68.665705,0.8206,0.0,111.04,0.002548,67.91,0.000739,0.8212,1.7e-05,110.86,0.001797,68.67,0.004295,True,True,True,True,True,True,True
7,H4,4818,0.812194,113.61428,74.509552,0.666563,151.385842,103.666035,0.8122,6e-06,113.61,0.00428,74.51,0.000448,0.6666,3.7e-05,151.39,0.004158,103.67,0.003965,True,True,True,True,True,True,True
7,H8,4817,0.806549,115.269992,78.193573,0.601398,165.462675,118.686885,0.8065,4.9e-05,115.27,8e-06,78.19,0.003573,0.6014,2e-06,165.46,0.002675,118.69,0.003115,True,True,True,True,True,True,True
7,H16,4816,0.798761,117.523209,80.979207,0.497687,185.675715,137.404151,0.7988,3.9e-05,117.52,0.003209,80.98,0.000793,0.4977,1.3e-05,185.68,0.004285,137.4,0.004151,True,True,True,True,True,True,True
7,H32,4814,0.797554,117.771216,81.619293,0.33447,213.534378,169.495206,0.7976,4.6e-05,117.77,0.001216,81.62,0.000707,0.3345,3e-05,213.53,0.004378,169.5,0.004794,True,True,True,True,True,True,True
7,H96,4804,0.790214,119.322492,81.226926,0.190175,234.439134,190.640421,0.7902,1.4e-05,119.32,0.002492,81.23,0.003074,0.1902,2.5e-05,234.44,0.000866,190.64,0.000421,True,True,True,True,True,True,True
8,H1,4957,0.973998,38.150288,26.553602,0.97664,36.16036,25.531618,0.974,2e-06,38.15,0.000288,26.55,0.003602,0.9766,4e-05,36.16,0.00036,25.53,0.001618,True,True,True,True,True,True,True
8,H4,4957,0.962381,45.887965,33.902151,0.953016,51.283016,37.97598,0.9624,1.9e-05,45.89,0.002035,33.9,0.002151,0.953,1.6e-05,51.28,0.003016,37.98,0.00402,True,True,True,True,True,True,True
8,H8,4956,0.953818,50.837192,39.142269,0.900956,74.449568,56.692267,0.9538,1.8e-05,50.84,0.002808,39.14,0.002269,0.901,4.4e-05,74.45,0.000432,56.69,0.002267,True,True,True,True,True,True,True
8,H16,4955,0.950507,52.615125,40.864744,0.750013,118.249197,90.801578,0.9505,7e-06,52.62,0.004875,40.86,0.004744,0.75,1.3e-05,118.25,0.000803,90.8,0.001578,True,True,True,True,True,True,True
8,H32,4953,0.949047,53.38423,41.818085,0.531804,161.822971,124.873153,0.949,4.7e-05,53.38,0.00423,41.82,0.001915,0.5318,4e-06,161.82,0.002971,124.87,0.003153,True,True,True,True,True,True,True
8,H96,4943,0.94702,54.472937,42.528778,0.18659,213.442341,173.921518,0.947,2e-05,54.47,0.002937,42.53,0.001222,0.1866,1e-05,213.44,0.002341,173.92,0.001518,True,True,True,True,True,True,True
