station,horizon,regime,n,mean_irradiance_W,fame_rmse_W,fame_skill,unified_xgb_rmse_W,unified_xgb_skill,persistence_rmse_W,persistence_skill
1,H1,low,1746,167.379152,83.532464,0.229156,82.249797,0.252648,95.141966,0.0
1,H1,medium,1740,614.434483,82.23842,0.426463,82.826782,0.418227,108.591021,0.0
1,H1,high,1736,959.4303,60.636313,0.359236,63.899385,0.288416,75.750192,0.0
1,H4,low,1746,167.379152,98.068097,-0.062457,121.884229,-0.641159,95.141966,0.0
1,H4,medium,1739,614.398505,91.326248,0.293024,113.053184,-0.083375,108.615883,0.0
1,H4,high,1736,959.4303,67.329266,0.209976,91.744157,-0.466862,75.750192,0.0
1,H8,low,1746,167.379152,109.84331,-0.332917,157.756646,-1.749357,95.141966,0.0
1,H8,medium,1739,614.398505,112.874057,-0.079945,138.085252,-0.616248,108.615883,0.0
1,H8,high,1736,959.4303,72.92908,0.073098,117.120133,-1.390538,75.750192,0.0
1,H16,low,1740,166.583908,120.599593,-0.611483,202.03539,-3.522609,95.002039,0.0
1,H16,medium,1744,613.647936,125.116784,-0.324414,176.707787,-1.641825,108.718555,0.0
1,H16,high,1736,959.4303,80.222382,-0.121563,133.229081,-2.093361,75.750192,0.0
1,H32,low,1744,167.225344,107.798554,-0.289591,228.389485,-4.788666,94.926369,0.0
1,H32,medium,1737,614.496834,111.686159,-0.05761,210.185209,-2.745684,108.601695,0.0
1,H32,high,1736,959.4303,82.436861,-0.184337,213.300953,-6.928994,75.750192,0.0
1,H96,low,1743,168.62708,122.752436,-0.674203,362.850508,-13.628618,94.869385,0.0
1,H96,medium,1729,615.493927,109.427833,-0.017385,218.553547,-3.058311,108.488876,0.0
1,H96,high,1736,959.4303,95.544335,-0.590898,330.739063,-18.063538,75.750192,0.0
2,H1,low,1686,69.781578,31.381502,0.313184,30.527444,0.350059,37.866345,0.0
2,H1,medium,1685,302.404772,59.017496,0.277869,58.502613,0.290414,69.450072,0.0
2,H1,high,1685,576.774522,44.121954,0.361814,42.199892,0.416205,55.230784,0.0
2,H4,low,1686,69.781578,40.315408,-0.133536,53.307695,-0.98186,37.866345,0.0
2,H4,medium,1685,302.404772,64.892712,0.126935,85.197229,-0.504893,69.450072,0.0
2,H4,high,1685,576.774522,48.064006,0.242683,56.517381,-0.047133,55.230784,0.0
2,H8,low,1685,69.797276,40.687538,-0.154967,75.898472,-3.018954,37.859645,0.0
2,H8,medium,1685,302.404772,68.00126,0.041287,92.205168,-0.762646,69.450072,0.0
2,H8,high,1685,576.774522,49.580174,0.194151,64.853111,-0.378793,55.230784,0.0
2,H16,low,1685,69.887246,42.919343,-0.284687,96.104937,-5.441434,37.866435,0.0
2,H16,medium,1684,302.485172,70.814628,-0.039275,107.05122,-1.375024,69.463655,0.0
2,H16,high,1685,576.774522,54.064795,0.041777,74.548838,-0.821878,55.230784,0.0
2,H32,low,1684,70.023741,41.428184,-0.1953,107.308932,-7.019676,37.892867,0.0
2,H32,medium,1684,302.649596,71.136816,-0.048942,112.263039,-1.612379,69.457423,0.0
2,H32,high,1684,576.853349,57.443181,-0.081202,100.923367,-2.337439,55.243997,0.0
2,H96,low,1681,70.102606,45.870582,-0.464041,187.799425,-23.539924,37.910338,0.0
2,H96,medium,1681,303.1195,69.870754,-0.010332,130.05035,-2.500229,69.512565,0.0
2,H96,high,1680,577.168988,57.590246,-0.087254,182.269522,-9.890838,55.231064,0.0
4,H1,low,1617,43.445337,17.680468,0.268194,17.33183,0.29677,20.667873,0.0
4,H1,medium,1616,187.410133,55.406144,0.222704,55.708994,0.214183,62.844119,0.0
4,H1,high,1616,576.189819,71.551941,0.180276,70.462018,0.205059,79.029201,0.0
4,H4,low,1617,43.445337,23.402416,-0.282123,47.492215,-4.280235,20.667873,0.0
