model,seed,skill,rmse_W,mae_W,r2
Ridge (trend expert),42,0.1415379355,93.1590274683,55.8633284218,0.9029351472
Unified XGBoost,42,0.1562458791,92.357537589,53.0501511589,0.9045981495
LightGBM,42,0.16599869,91.8222135981,51.9723100855,0.9057008833
Persistence,42,0.0,100.5459060162,55.9884092726,0.8869316924
Ridge (trend expert),0,0.1415379355,93.1590274683,55.8633284218,0.9029351472
Unified XGBoost,0,0.1567307074,92.3309990602,52.715046686,0.9046529682
LightGBM,0,0.1678365729,91.7209838099,51.763093552,0.9059086896
Persistence,0,0.0,100.5459060162,55.9884092726,0.8869316924
Ridge (trend expert),2024,0.1415379355,93.1590274683,55.8633284218,0.9029351472
Unified XGBoost,2024,0.1544458157,92.4560027944,52.9772384874,0.9043946194
LightGBM,2024,0.1764699865,91.2439562678,51.5581325124,0.9068848551
Persistence,2024,0.0,100.5459060162,55.9884092726,0.8869316924
