model,station,horizon,seed,skill,rmse_W,mae_W,r2,n_test
Unified XGBoost,1,H1,42,0.3337481512,76.8452776492,38.7100821447,0.9494841852,5222
LightGBM,1,H1,42,0.3344351261,76.8056496955,39.1196045615,0.9495362723,5222
Unified XGBoost,1,H1,0,0.3294365677,77.093525008,38.8508065265,0.9491572771,5222
LightGBM,1,H1,0,0.3349415083,76.7764260865,39.3369075687,0.9495746666,5222
Unified XGBoost,1,H1,2024,0.3370478292,76.6547495433,38.6548176179,0.9497343698,5222
LightGBM,1,H1,2024,0.3330682048,76.8844800495,39.0671100648,0.9494326311,5222
Unified XGBoost,1,H4,42,-0.3563918099,109.653089411,65.7405111736,0.8971608903,5221
LightGBM,1,H4,42,-0.3972517758,111.2924307298,67.1602057568,0.8940629636,5221
Unified XGBoost,1,H4,0,-0.3707338511,110.2312828887,65.9187096051,0.8960735034,5221
LightGBM,1,H4,0,-0.3748909837,110.3983098956,66.6838856808,0.8957583173,5221
Unified XGBoost,1,H4,2024,-0.3661155761,110.0454306543,65.7035652258,0.8964236524,5221
LightGBM,1,H4,2024,-0.3953845546,111.2180429018,66.9684980742,0.8942045328,5221
Unified XGBoost,1,H8,42,-1.1698453458,138.6892128457,91.6128962816,0.835486353,5221
LightGBM,1,H8,42,-1.2023208747,139.7232215418,92.9699042078,0.8330241186,5221
Unified XGBoost,1,H8,0,-1.1637236955,138.4934370241,91.4312342008,0.8359504851,5221
LightGBM,1,H8,0,-1.2030348247,139.7458674951,92.9737181386,0.8329699883,5221
Unified XGBoost,1,H8,2024,-1.1512727341,138.0943878526,91.2325996359,0.8368944939,5221
LightGBM,1,H8,2024,-1.1658800808,138.5624317016,92.4204440304,0.835786992,5221
Unified XGBoost,1,H16,42,-2.3772337463,173.0365154633,125.4375267243,0.7439585017,5220
LightGBM,1,H16,42,-2.4646988338,175.2628807134,127.6016368698,0.7373274262,5220
Unified XGBoost,1,H16,0,-2.4097117791,173.8665496498,126.0885672102,0.7414962131,5220
LightGBM,1,H16,0,-2.4718019643,175.4424457727,128.1356693193,0.7367889096,5220
Unified XGBoost,1,H16,2024,-2.3564491991,172.5032334247,124.9540695031,0.7455342607,5220
LightGBM,1,H16,2024,-2.4989225808,176.1263631233,127.9878997895,0.734732788,5220
Unified XGBoost,1,H32,42,-4.3438632575,217.4531021151,165.2969916657,0.5957563963,5217
LightGBM,1,H32,42,-4.4867418748,220.3409430432,167.5176331818,0.5849481543,5217
Unified XGBoost,1,H32,0,-4.2648498797,215.839504557,163.27782141,0.6017334677,5217
LightGBM,1,H32,0,-4.4271844344,219.1418025359,166.9028667361,0.5894534556,5217
Unified XGBoost,1,H32,2024,-4.2829002468,216.2091873396,164.4008857199,0.6003680238,5217
LightGBM,1,H32,2024,-4.3857619802,218.3039115096,165.9784143801,0.592586912,5217
Unified XGBoost,1,H96,42,-9.9126765667,310.4581331116,257.0766226457,0.1745687704,5208
LightGBM,1,H96,42,-10.3168660505,316.1553151714,262.9238637449,0.1439960122,5208
Unified XGBoost,1,H96,0,-9.974595116,311.337657314,258.0323937062,0.1698852719,5208
LightGBM,1,H96,0,-10.2715906509,315.522259897,263.0450706524,0.1474206283,5208
Unified XGBoost,1,H96,2024,-9.9601594217,311.1328272454,257.6479224201,0.170977183,5208
LightGBM,1,H96,2024,-10.4959865188,318.6475052802,265.9147667359,0.1304473995,5208
Unified XGBoost,2,H1,42,0.3408294764,45.2203895938,22.9460676836,0.9577382359,5056
LightGBM,2,H1,42,0.3201939892,45.9227524735,23.4628607661,0.9564152215,5056
Unified XGBoost,2,H1,0,0.3419304631,45.1826088883,22.8721745789,0.957808824,5056
LightGBM,2,H1,0,0.3184709935,45.9809121777,23.449091231,0.9563047541,5056
Unified XGBoost,2,H1,2024,0.340158465,45.243400086,22.9714066793,0.957695215,5056
LightGBM,2,H1,2024,0.3333411364,45.4765216147,23.2568327626,0.9572581318,5056
Unified XGBoost,2,H4,42,-0.4283968202,66.5671322543,39.3141099446,0.9084204051,5056
LightGBM,2,H4,42,-0.4570843703,67.2322677354,40.4371728281,0.9065811444,5056
Unified XGBoost,2,H4,0,-0.4239749258,66.4640163024,39.131745516,0.9087039085,5056
LightGBM,2,H4,0,-0.4679840594,67.4832640012,40.1305183639,0.9058823266,5056
Unified XGBoost,2,H4,2024,-0.4267296501,66.5282736076,39.223343183,0.9085272933,5056
LightGBM,2,H4,2024,-0.4594865954,67.2876662192,40.2887367648,0.9064271292,5056
Unified XGBoost,2,H8,42,-0.9843224718,78.4608124147,52.4897942934,0.8727578453,5055
LightGBM,2,H8,42,-1.1119251576,80.9442376525,54.6495419857,0.8645754854,5055
Unified XGBoost,2,H8,0,-1.0044507436,78.8577478554,52.8794072519,0.8714671455,5055
LightGBM,2,H8,0,-1.0751999241,80.2373629286,53.7596311513,0.8669304443,5055
Unified XGBoost,2,H8,2024,-0.9732852162,78.2422996414,52.4174133121,0.8734655953,5055
LightGBM,2,H8,2024,-1.0718057903,80.1717191834,53.7202945171,0.8671480888,5055
Unified XGBoost,2,H16,42,-1.8202277634,93.545076474,67.3762306657,0.819098479,5054
LightGBM,2,H16,42,-1.886507398,94.6379185665,68.4530234643,0.8148470186,5054
Unified XGBoost,2,H16,0,-1.8562509502,94.1406133445,68.0983980599,0.8167877971,5054
LightGBM,2,H16,0,-1.9009521814,94.8744186144,68.3097020989,0.8139204682,5054
Unified XGBoost,2,H16,2024,-1.8221714895,93.5773069726,67.602899084,0.8189738001,5054
LightGBM,2,H16,2024,-1.8954234777,94.7839685356,68.6398634522,0.814275103,5054
Unified XGBoost,2,H32,42,-2.6837785972,106.9325686023,80.2818457183,0.7635189351,5052
LightGBM,2,H32,42,-2.7552632774,107.965110614,80.9660369595,0.7589299587,5052
Unified XGBoost,2,H32,0,-2.7122448517,107.3449321179,80.561631144,0.761691537,5052
LightGBM,2,H32,0,-2.7350866079,107.6746768768,80.6402481457,0.7602252049,5052
Unified XGBoost,2,H32,2024,-2.7108307655,107.3244849956,80.7045804937,0.7617823146,5052
LightGBM,2,H32,2024,-2.6930987348,107.0677554291,80.3631078112,0.7629206266,5052
Unified XGBoost,2,H96,42,-8.1635053432,168.7217307725,138.2900249908,0.4116780411,5042
LightGBM,2,H96,42,-8.2248215934,169.2852779622,138.5030028597,0.4077413711,5042
Unified XGBoost,2,H96,0,-8.254305141,169.5555893615,138.9776973033,0.4058484472,5042
LightGBM,2,H96,0,-8.1865809262,168.9340351354,138.3111568848,0.4101965259,5042
Unified XGBoost,2,H96,2024,-8.1729158413,168.8083432665,138.2019809596,0.4110738615,5042
LightGBM,2,H96,2024,-8.3546719379,170.4725603561,139.3341916593,0.3994046259,5042
Unified XGBoost,4,H1,42,0.2121415179,52.8117419257,30.068547723,0.9539950382,4849
LightGBM,4,H1,42,0.2167884398,52.655765322,30.1317529753,0.9542663832,4849
Unified XGBoost,4,H1,0,0.2164846679,52.665975713,29.8681207841,0.9542486453,4849
LightGBM,4,H1,0,0.2090881333,52.9139802273,30.1686953316,0.9538167437,4849
Unified XGBoost,4,H1,2024,0.209436007,52.9023421374,30.1210856665,0.9538370569,4849
LightGBM,4,H1,2024,0.2120643336,52.8143287734,30.1377406109,0.9539905312,4849
Unified XGBoost,4,H4,42,-1.1012627407,86.2498437514,56.4925621955,0.8773144991,4848
LightGBM,4,H4,42,-1.0893284857,86.0045642558,56.2445916592,0.8780112992,4848
Unified XGBoost,4,H4,0,-1.0959687685,86.1411252576,56.1343054137,0.8776235959,4848
LightGBM,4,H4,0,-1.0771529611,85.7536030694,56.0232832806,0.8787221862,4848
Unified XGBoost,4,H4,2024,-1.1117584763,86.4649829428,56.4367623428,0.8767016892,4848
LightGBM,4,H4,2024,-1.0645970777,85.4940303966,55.7382286144,0.879455281,4848
Unified XGBoost,4,H8,42,-2.6131122019,113.0990250838,80.2267253926,0.7890428114,4848
LightGBM,4,H8,42,-2.5547160132,112.181332014,79.2563212957,0.792452364,4848
