model,horizon,n_pairs,n_seeds,mean_std_skill,max_std_skill,mean_range_skill,max_range_skill,mean_std_rmse_W,max_std_rmse_W,mean_range_rmse_W,max_range_rmse_W
LightGBM,H1,7,3,0.004043243,0.0081336477,0.007662212,0.0148701429,0.1963891898,0.3452601393,0.3736024348,0.6559082384
LightGBM,H4,7,3,0.0116505473,0.0222114215,0.0222425125,0.0411628762,0.4299677748,1.0801736578,0.8151226203,2.0011394089
LightGBM,H8,7,3,0.0212584691,0.0379296057,0.0395824593,0.069820191,0.523536938,0.8402371181,0.9752967428,1.5701701461
LightGBM,H16,7,3,0.0164438936,0.0293079579,0.0318037709,0.0568294347,0.3684110668,1.1683422913,0.7132555473,2.266239049
LightGBM,H32,7,3,0.0354609745,0.0745395072,0.0687083292,0.1428446808,0.6679429519,1.5186978465,1.2842540431,2.9113659119
LightGBM,H96,7,3,0.090794398,0.119114996,0.1677032656,0.2243958679,1.3974978285,3.0105399754,2.5740514694,5.3707281348
Unified XGBoost,H1,7,3,0.0027900445,0.0066729779,0.0055247862,0.0132057013,0.1457487287,0.4304222308,0.2885461598,0.8516606759
Unified XGBoost,H4,7,3,0.0063417821,0.0142773523,0.0120194664,0.0256793637,0.2328685036,0.6017382578,0.4400272937,1.0821686727
Unified XGBoost,H8,7,3,0.01139462,0.0219110138,0.0225794845,0.0438220118,0.3388939849,0.6726211799,0.6732426905,1.3452422869
Unified XGBoost,H16,7,3,0.0373743769,0.0579517039,0.0718121347,0.113090214,0.8331244635,1.595279637,1.5925534284,2.9022944625
Unified XGBoost,H32,7,3,0.0545801671,0.1425622874,0.1046396642,0.2761043947,0.916447166,2.0581987983,1.7743281646,4.1147026556
Unified XGBoost,H96,7,3,0.0465081356,0.1593740563,0.0901132312,0.3176066832,0.5530694797,1.0796568018,1.0677256667,2.1517920119
