scope,baseline,n,wins,losses,ties,win_rate_pct
ALL,Unified XGBoost,42,38,4,0,9.047620e+01
ALL,Persistence,42,20,22,0,4.761900e+01
H1,Unified XGBoost,7,3,4,0,4.285710e+01
H1,Persistence,7,7,0,0,1.000000e+02
H4,Unified XGBoost,7,7,0,0,1.000000e+02
H4,Persistence,7,7,0,0,1.000000e+02
H8,Unified XGBoost,7,7,0,0,1.000000e+02
H8,Persistence,7,3,4,0,4.285710e+01
H16,Unified XGBoost,7,7,0,0,1.000000e+02
H16,Persistence,7,1,6,0,1.428570e+01
H32,Unified XGBoost,7,7,0,0,1.000000e+02
H32,Persistence,7,1,6,0,1.428570e+01
H96,Unified XGBoost,7,7,0,0,1.000000e+02
H96,Persistence,7,1,6,0,1.428570e+01
