station,horizon,model,nominal_pct,empirical_pct,width_W_m2,calibration_error_pp,status,width_per_sigma,winkler_score_W,cwc,sigma_y_W,n_calibration,n_evaluation
1,H1,Proposed (FAME),9.000000e+01,9.161240e+01,212.8131,1.612400e+00,over-covered,6.224000e-01,361.9644,0.6224,341.9035,2611,2611
1,H1,Proposed (FAME),9.500000e+01,9.659130e+01,372.3423,1.591300e+00,over-covered,1.089000e+00,493.672,1.089,341.9035,2611,2611
1,H1,Unified XGBoost,9.000000e+01,9.153580e+01,212.4986,1.535800e+00,over-covered,6.215000e-01,369.2544,0.6215,341.9035,2611,2611
1,H1,Unified XGBoost,9.500000e+01,9.647640e+01,373.3902,1.476400e+00,over-covered,1.092100e+00,501.11,1.0921,341.9035,2611,2611
1,H1,Persistence,9.000000e+01,8.625050e+01,204.0,-3.749500e+00,under-covered,5.967000e-01,411.0777,4.4864,341.9035,2611,2611
1,H1,Persistence,9.500000e+01,9.571050e+01,380.0,7.105000e-01,over-covered,1.111400e+00,544.5347,1.1114,341.9035,2611,2611
1,H4,Proposed (FAME),9.000000e+01,9.057830e+01,248.1286,5.783000e-01,over-covered,7.257000e-01,397.6161,0.7257,341.9336,2610,2611
1,H4,Proposed (FAME),9.500000e+01,9.617000e+01,388.9445,1.170000e+00,over-covered,1.137500e+00,519.4997,1.1375,341.9336,2610,2611
1,H4,Unified XGBoost,9.000000e+01,9.008040e+01,323.2122,8.040000e-02,over-covered,9.452000e-01,536.8282,0.9452,341.9336,2610,2611
1,H4,Unified XGBoost,9.500000e+01,9.578710e+01,521.4621,7.871000e-01,over-covered,1.525000e+00,694.6618,1.525,341.9336,2610,2611
1,H4,Persistence,9.000000e+01,8.625050e+01,204.0,-3.749500e+00,under-covered,5.966000e-01,411.0777,4.486,341.9336,2610,2611
1,H4,Persistence,9.500000e+01,9.571050e+01,380.0,7.105000e-01,over-covered,1.111300e+00,544.5347,1.1113,341.9336,2610,2611
1,H8,Proposed (FAME),9.000000e+01,8.908460e+01,290.0916,-9.154000e-01,under-covered,8.484000e-01,434.4118,2.1892,341.9336,2610,2611
1,H8,Proposed (FAME),9.500000e+01,9.655300e+01,436.0151,1.553000e+00,over-covered,1.275100e+00,543.5665,1.2751,341.9336,2610,2611
