model,nominal_pct,station,mean_empirical_pct,mean_width_W,mean_calibration_error_pp
Persistence,9.000000e+01,1,8.616490e+01,203.6667,-3.835100e+00
Persistence,9.000000e+01,2,8.573690e+01,120.9133,-4.263100e+00
Persistence,9.000000e+01,4,9.574880e+01,196.7333,5.748800e+00
Persistence,9.000000e+01,5,9.632050e+01,339.6667,6.320500e+00
Persistence,9.000000e+01,6,9.714550e+01,432.6333,7.145500e+00
Persistence,9.000000e+01,7,9.671840e+01,484.0,6.718400e+00
Persistence,9.000000e+01,8,9.309690e+01,178.0833,3.096900e+00
Persistence,9.500000e+01,1,9.569490e+01,378.0,6.949000e-01
Persistence,9.500000e+01,2,9.207020e+01,196.75,-2.929800e+00
Persistence,9.500000e+01,4,9.899560e+01,316.1333,3.995600e+00
Persistence,9.500000e+01,5,9.852690e+01,562.0,3.526900e+00
Persistence,9.500000e+01,6,9.878780e+01,636.6444,3.787800e+00
Persistence,9.500000e+01,7,9.887840e+01,677.0,3.878400e+00
Persistence,9.500000e+01,8,9.729530e+01,224.6333,2.295300e+00
Proposed (FAME),9.000000e+01,1,8.953110e+01,276.4055,-4.689000e-01
Proposed (FAME),9.000000e+01,2,8.563980e+01,129.5135,-4.360200e+00
Proposed (FAME),9.000000e+01,4,9.587960e+01,208.3126,5.879600e+00
Proposed (FAME),9.000000e+01,5,9.533390e+01,348.7728,5.333900e+00
Proposed (FAME),9.000000e+01,6,9.691080e+01,420.767,6.910800e+00
Proposed (FAME),9.000000e+01,7,9.666990e+01,458.378,6.669900e+00
Proposed (FAME),9.000000e+01,8,9.372940e+01,172.6121,3.729400e+00
Proposed (FAME),9.500000e+01,1,9.589900e+01,405.6905,8.990000e-01
Proposed (FAME),9.500000e+01,2,9.248610e+01,198.8003,-2.513900e+00
Proposed (FAME),9.500000e+01,4,9.865180e+01,298.2562,3.651800e+00
Proposed (FAME),9.500000e+01,5,9.850030e+01,518.0561,3.500300e+00
Proposed (FAME),9.500000e+01,6,9.867060e+01,598.9676,3.670600e+00
Proposed (FAME),9.500000e+01,7,9.859460e+01,609.7736,3.594600e+00
Proposed (FAME),9.500000e+01,8,9.743650e+01,215.0146,2.436500e+00
Unified XGBoost,9.000000e+01,1,9.081590e+01,546.8758,8.159000e-01
Unified XGBoost,9.000000e+01,2,8.467940e+01,265.5297,-5.320600e+00
Unified XGBoost,9.000000e+01,4,9.467570e+01,524.654,4.675700e+00
Unified XGBoost,9.000000e+01,5,9.241200e+01,659.3521,2.412000e+00
Unified XGBoost,9.000000e+01,6,9.565900e+01,784.7213,5.659000e+00
Unified XGBoost,9.000000e+01,7,9.668370e+01,682.2597,6.683700e+00
Unified XGBoost,9.000000e+01,8,9.303680e+01,381.5558,3.036800e+00
Unified XGBoost,9.500000e+01,1,9.667910e+01,757.08,1.679100e+00
Unified XGBoost,9.500000e+01,2,9.302860e+01,364.9043,-1.971400e+00
Unified XGBoost,9.500000e+01,4,9.784030e+01,646.1697,2.840300e+00
Unified XGBoost,9.500000e+01,5,9.599200e+01,801.6043,9.920000e-01
Unified XGBoost,9.500000e+01,6,9.792750e+01,953.5447,2.927500e+00
Unified XGBoost,9.500000e+01,7,9.856690e+01,834.1552,3.566900e+00
Unified XGBoost,9.500000e+01,8,9.703310e+01,464.5748,2.033100e+00
