station,horizon,model,nominal_pct,reported_empirical,recomputed_empirical,reported_width,recomputed_width,coverage_absdiff,width_absdiff,agrees
5,H1,Proposed,9.000000e+01,96.0,96.0432,342.6,342.5877,0.0432,0.0123,True
5,H1,Proposed,9.500000e+01,98.4,98.4412,494.4,494.3771,0.0412,0.0229,True
5,H1,Unified XGB,9.000000e+01,96.0,96.0432,341.6,341.5948,0.0432,0.0052,True
5,H1,Unified XGB,9.500000e+01,98.3,98.3213,490.6,490.5698,0.0213,0.0302,True
5,H1,Persistence,9.000000e+01,96.3,96.3229,340.0,340.0,0.0229,0.0,True
5,H1,Persistence,9.500000e+01,98.5,98.5212,562.0,562.0,0.0212,0.0,True
5,H4,Proposed,9.000000e+01,95.4,95.3637,345.6,345.642,0.0363,0.042,True
5,H4,Proposed,9.500000e+01,98.6,98.6411,513.4,513.3629,0.0411,0.0371,True
5,H4,Unified XGB,9.000000e+01,95.1,95.1239,477.1,477.0729,0.0239,0.0271,True
5,H4,Unified XGB,9.500000e+01,97.4,97.3621,604.6,604.6191,0.0379,0.0191,True
5,H4,Persistence,9.000000e+01,96.3,96.3229,340.0,340.0,0.0229,0.0,True
5,H4,Persistence,9.500000e+01,98.5,98.5212,562.0,562.0,0.0212,0.0,True
