station,horizon,fame_skill,fame_r2,uxgb_r2,fame_rmse_W,issues
1,H8,-0.133393,0.914068,0.835486,100.234789,skill<0 (worse than persistence)
1,H16,-0.378164,0.895516,0.743959,110.537014,skill<0 (worse than persistence)
1,H32,-0.163928,0.911953,0.595756,101.484817,skill<0 (worse than persistence)
1,H96,-0.365583,0.896708,0.174569,109.823807,skill<0 (worse than persistence)
2,H1,0.310821,0.955814,0.957738,46.238245,R2 below unified XGBoost
2,H16,-0.050519,0.932615,0.819098,57.092737,skill<0 (worse than persistence)
2,H32,-0.082082,0.930535,0.763519,57.955328,skill<0 (worse than persistence)
2,H96,-0.10548,0.929025,0.411678,58.602443,skill<0 (worse than persistence)
4,H1,0.199588,0.953262,0.953995,53.230818,R2 below unified XGBoost
4,H8,-0.046552,0.938895,0.789043,60.869327,skill<0 (worse than persistence)
4,H16,-0.13575,0.933697,0.587829,63.411731,skill<0 (worse than persistence)
4,H32,-0.183202,0.930975,0.246888,64.718381,skill<0 (worse than persistence)
4,H96,-0.186,0.93114,-0.103274,64.59318,skill<0 (worse than persistence)
5,H8,-0.025571,0.883951,0.698941,101.83247,skill<0 (worse than persistence)
5,H16,-0.102281,0.875165,0.416979,105.582052,skill<0 (worse than persistence)
5,H32,-0.2103,0.862677,0.343239,110.655611,skill<0 (worse than persistence)
5,H96,-0.229409,0.861968,-0.013271,110.711876,skill<0 (worse than persistence)
6,H16,-0.03926,0.896514,0.615338,117.279613,skill<0 (worse than persistence)
6,H32,-0.054063,0.895102,0.505388,118.09864,skill<0 (worse than persistence)
6,H96,-0.070167,0.893606,0.246114,119.005336,skill<0 (worse than persistence)
7,H1,0.161936,0.8206,0.821183,111.042548,R2 below unified XGBoost
8,H1,0.431496,0.973998,0.97664,38.150288,R2 below unified XGBoost
8,H8,-0.009434,0.953818,0.900956,50.837192,skill<0 (worse than persistence)
8,H16,-0.08181,0.950507,0.750013,52.615125,skill<0 (worse than persistence)
8,H32,-0.115812,0.949047,0.531804,53.38423,skill<0 (worse than persistence)
8,H96,-0.162823,0.94702,0.18659,54.472937,skill<0 (worse than persistence)
