station,horizon,model,bias_W,rmse_W,mae_W,mae_rmse_ratio,residual_std_W,residual_skew,residual_kurtosis,residual_autocorr_lag1
1,H1,Proposed (FAME),3.483933,76.215756,39.263708,0.515165,76.136087,0.874392,16.334713,0.071577
1,H1,Unified XGBoost,1.440993,76.845277,38.710082,0.503741,76.831766,0.713801,16.632119,0.045603
1,H1,Persistence,0.136921,94.145154,63.659709,0.676187,94.145055,0.000412,11.206935,0.059074
1,H4,Proposed (FAME),7.704271,86.61159,54.531192,0.629606,86.268255,0.377385,8.918356,0.315891
1,H4,Unified XGBoost,2.73458,109.653089,65.740511,0.599532,109.618986,0.182225,7.711292,0.608958
1,H4,Persistence,0.127562,94.151727,63.662517,0.676169,94.151641,0.000683,11.205667,0.059023
1,H8,Proposed (FAME),9.254797,100.234789,71.825747,0.716575,99.806621,0.288789,4.57646,0.436026
1,H8,Unified XGBoost,6.343247,138.689213,91.612896,0.660563,138.544076,0.292543,3.959305,0.713739
1,H8,Persistence,0.127562,94.151727,63.662517,0.676169,94.151641,0.000683,11.205667,0.059023
1,H16,Proposed (FAME),11.690814,110.537014,84.351386,0.763105,109.917043,0.329134,3.021254,0.492333
1,H16,Unified XGBoost,-0.037859,173.036515,125.437527,0.724919,173.036511,0.596295,1.972971,0.825888
1,H16,Persistence,0.117625,94.157995,63.664751,0.676148,94.157921,0.000968,11.204581,0.05875
1,H32,Proposed (FAME),-0.595079,101.484817,74.713799,0.736207,101.483072,0.46163,4.885846,0.372974
1,H32,Unified XGBoost,-35.484485,217.453102,165.296992,0.76015,214.538349,0.449768,1.427213,0.890679
1,H32,Persistence,0.080889,94.06714,63.602454,0.676139,94.067105,-0.002714,11.247971,0.059943
1,H96,Proposed (FAME),5.490063,109.823807,85.883874,0.782015,109.686498,0.152006,3.474818,0.427663
1,H96,Unified XGBoost,-0.71995,310.458133,257.076623,0.828056,310.457298,0.077008,-0.490922,0.93016
1,H96,Persistence,0.004032,93.980424,63.555108,0.676259,93.980424,-0.008239,11.289195,0.061468
2,H1,Proposed (FAME),4.622369,46.238245,24.630813,0.532694,46.006619,0.68065,14.22669,0.001652
