station,horizon,n_test,sigma_y_W,fame_r2,fame_rmse_W,fame_mae_W,fame_bias_W,fame_skill,unified_xgb_r2,unified_xgb_rmse_W,unified_xgb_mae_W,unified_xgb_bias_W,unified_xgb_skill,persistence_r2,persistence_rmse_W,persistence_mae_W,persistence_bias_W,persistence_skill
1,H1,5222,341.903466,0.950308,76.215756,39.263708,3.483933,0.344619,0.949484,76.845277,38.710082,1.440993,0.333748,0.924179,94.145154,63.659709,0.136921,0.0
1,H4,5221,341.933552,0.935839,86.61159,54.531192,7.704271,0.153756,0.897161,109.653089,65.740511,2.73458,-0.356392,0.924182,94.151727,63.662517,0.127562,0.0
1,H8,5221,341.933552,0.914068,100.234789,71.825747,9.254797,-0.133393,0.835486,138.689213,91.612896,6.343247,-1.169845,0.924182,94.151727,63.662517,0.127562,0.0
1,H16,5220,341.965726,0.895516,110.537014,84.351386,11.690814,-0.378164,0.743959,173.036515,125.437527,-0.037859,-2.377234,0.924186,94.157995,63.664751,0.117625,0.0
1,H32,5217,342.014114,0.911953,101.484817,74.713799,-0.595079,-0.163928,0.595756,217.453102,165.296992,-35.484485,-4.343863,0.924354,94.06714,63.602454,0.080889,0.0
1,H96,5208,341.713859,0.896708,109.823807,85.883874,5.490063,-0.365583,0.174569,310.458133,257.076623,-0.71995,-9.912677,0.92436,93.980424,63.555108,0.004032,0.0
2,H1,5056,219.968498,0.955814,46.238245,24.630813,4.622369,0.310821,0.957738,45.22039,22.946068,2.065164,0.340829,0.935886,55.697463,37.101444,0.017251,0.0
2,H4,5056,219.968498,0.943883,52.108535,34.98676,7.163009,0.12472,0.90842,66.567132,39.31411,6.782617,-0.428397,0.935886,55.697463,37.101444,0.017251,0.0
2,H8,5055,219.95675,0.939798,53.968635,37.23402,3.917379,0.061164,0.872758,78.460812,52.489794,12.447648,-0.984322,0.935876,55.698907,37.099319,0.00779,0.0
2,H16,5054,219.937774,0.932615,57.092737,41.257031,1.420865,-0.050519,0.819098,93.545077,67.376231,17.964719,-1.820228,0.935856,55.703033,37.101136,0.002268,0.0
2,H32,5052,219.893207,0.930535,57.955328,42.014495,-0.057878,-0.082082,0.763519,106.932569,80.281846,3.807988,-2.683779,0.935805,55.713859,37.113052,-0.000503,0.0
2,H96,5042,219.970019,0.929025,58.602443,42.077262,2.815207,-0.10548,0.411678,168.721731,138.290025,4.726089,-8.163505,0.935797,55.736565,37.105236,0.08092,0.0
4,H1,4849,246.222737,0.953262,53.230818,30.619588,1.463003,0.199588,0.953995,52.811742,30.068548,2.738996,0.212142,0.941608,59.49855,38.057928,0.01027,0.0
4,H4,4848,246.241754,0.942833,58.875468,38.762271,2.065604,0.020888,0.877314,86.249844,56.492562,9.070136,-1.101263,0.941613,59.50016,38.055238,0.020813,0.0
4,H8,4848,246.241754,0.938895,60.869327,41.226605,3.485772,-0.046552,0.789043,113.099025,80.226725,16.607348,-2.613112,0.941613,59.50016,38.055238,0.020813,0.0
4,H16,4847,246.265043,0.933697,63.411731,44.64639,4.099506,-0.13575,0.587829,158.103561,120.082529,23.181033,-6.060361,0.941622,59.501538,38.052278,0.031628,0.0
4,H32,4844,246.333291,0.930975,64.718381,46.490794,1.522211,-0.183202,0.246888,213.773015,170.536031,36.691041,-11.909496,0.941662,59.497435,38.035155,0.072337,0.0
4,H96,4835,246.151573,0.93114,64.59318,45.212438,-7.426479,-0.186,-0.103274,258.549888,216.392535,28.424322,-18.00204,0.941939,59.312228,37.944011,0.15181,0.0
5,H1,5004,299.015668,0.909954,89.727794,50.059932,-1.373965,0.203611,0.904598,92.357538,53.050151,-1.997284,0.156246,0.886932,100.545906,55.988409,0.166667,0.0
5,H4,5004,299.015668,0.898444,95.289762,58.887445,0.435381,0.101819,0.81906,127.192331,85.810984,9.178512,-0.600269,0.886932,100.545906,55.988409,0.166667,0.0
5,H8,5003,298.927315,0.883951,101.83247,68.585354,9.907488,-0.025571,0.698941,164.017897,121.208569,27.392948,-1.660576,0.886845,100.554936,55.993204,0.173096,0.0
5,H16,5002,298.828278,0.875165,105.582052,72.599709,3.194643,-0.102281,0.416979,228.172745,176.217952,50.41873,-4.148014,0.886748,100.564315,55.9992,0.178329,0.0
5,H32,5000,298.608171,0.862677,110.655611,75.670524,-10.994456,-0.2103,0.343239,241.994482,195.320591,14.08504,-4.788381,0.886538,100.583541,56.0144,0.1828,0.0
5,H96,4990,297.992191,0.861968,110.711876,76.399484,-17.5311,-0.229409,-0.013271,299.962953,248.578257,18.327138,-8.024916,0.887725,99.849532,55.797595,0.172745,0.0
6,H1,5118,364.55507,0.922875,101.241915,56.452682,-1.622865,0.225262,0.920176,102.998268,57.400551,1.843664,0.198148,0.90045,115.022526,71.130451,0.158923,0.0
6,H4,5118,364.55507,0.912647,107.745949,67.480917,-0.728023,0.122522,0.813515,157.429068,104.685207,4.362146,-0.873286,0.90045,115.022526,71.130451,0.158923,0.0
6,H8,5117,364.559193,0.90421,112.830976,74.623269,5.527466,0.037929,0.729153,189.72731,135.851608,7.905792,-1.720257,0.900433,115.033646,71.142046,0.16126,0.0
6,H16,5116,364.57129,0.896514,117.279613,81.571288,8.153644,-0.03926,0.615338,226.111293,170.955984,12.148637,-2.862992,0.900424,115.043043,71.146843,0.152183,0.0
6,H32,5114,364.638053,0.895102,118.09864,81.303768,0.680667,-0.054063,0.505388,256.445101,197.664688,8.853645,-3.970103,0.900483,115.030158,71.134581,0.112156,0.0
6,H96,5104,364.84491,0.893606,119.005336,81.763492,14.901803,-0.070167,0.246114,316.782383,254.47694,36.012914,-6.582991,0.900582,115.037848,71.093746,0.086024,0.0
7,H1,4818,262.16701,0.8206,111.042548,67.910739,10.65379,0.161936,0.821183,110.861797,68.665705,3.153246,0.164662,0.785935,121.297207,77.515211,0.181832,0.0
7,H4,4818,262.16701,0.812194,113.61428,74.509552,6.990568,0.122667,0.666563,151.385842,103.666035,-6.62397,-0.557647,0.785935,121.297207,77.515211,0.181832,0.0
7,H8,4817,262.077909,0.806549,115.269992,78.193573,13.566547,0.097082,0.601398,165.462675,118.686885,-16.020127,-0.860441,0.785749,121.308741,77.52401,0.189163,0.0
7,H16,4816,261.979866,0.798761,117.523209,80.979207,17.961484,0.061627,0.497687,185.675715,137.404151,13.595656,-1.342277,0.785545,121.320986,77.535919,0.19339,0.0
7,H32,4814,261.748467,0.797554,117.771216,81.619293,3.43224,0.058038,0.33447,213.534378,169.495206,25.808896,-2.096639,0.78508,121.345171,77.558099,0.203504,0.0
7,H96,4804,260.516102,0.790214,119.322492,81.226926,-2.897116,0.035044,0.190175,234.439134,190.640421,23.50386,-2.724973,0.782596,121.469865,77.696105,0.192395,0.0
8,H1,4957,236.590555,0.973998,38.150288,26.553602,4.304102,0.431496,0.97664,36.16036,25.531618,3.47331,0.489255,0.954263,50.59771,38.770061,0.142265,0.0
8,H4,4957,236.590555,0.962381,45.887965,33.902151,6.556535,0.1775,0.953016,51.283016,37.97598,8.457579,-0.027272,0.954263,50.59771,38.770061,0.142265,0.0
8,H8,4956,236.563326,0.953818,50.837192,39.142269,4.277061,-0.009434,0.900956,74.449568,56.692267,14.124178,-1.164907,0.95425,50.599077,38.769146,0.133557,0.0
8,H16,4955,236.504518,0.950507,52.615125,40.864744,3.956918,-0.08181,0.750013,118.249197,90.801578,7.162461,-4.464194,0.95425,50.58656,38.758,0.152555,0.0
8,H32,4953,236.497298,0.949047,53.38423,41.818085,-0.819881,-0.115812,0.531804,161.822971,124.873153,-20.086821,-9.252865,0.954335,50.537941,38.731565,0.110531,0.0
8,H96,4943,236.660572,0.94702,54.472937,42.528778,-0.900845,-0.162823,0.18659,213.442341,173.921518,9.187003,-16.853078,0.954439,50.515427,38.719401,0.034226,0.0
