metric,baseline,scope,n,mean_proposed,mean_baseline,mean_diff,ci95_lo,ci95_hi,wilcoxon_W,p_value,cohens_dz,effect_size,proposed_better_in,note,significant_a05,holm_adjusted_p,holm_significant
mae_W,Persistence,H1,7,4.221301e+01,54.603316,-12.390307,-18.03419,-6.746424,0.0,1.562500e-02,-2.030362,large,7,,True,9.375000e-02,False
mae_W,Persistence,H4,7,5.186576e+01,54.603333,-2.737577,-6.32638,0.851225,4.0,1.093750e-01,-0.705482,medium,5,,False,1.093750e-01,False
mae_W,Persistence,H8,7,5.869012e+01,54.606497,4.083622,-0.241963,8.409207,0.0,1.562500e-02,0.873112,large,0,,True,9.375000e-02,False
mae_W,Persistence,H16,7,6.375282e+01,54.608304,9.144518,2.562764,15.726273,0.0,1.562500e-02,1.284957,large,0,,True,9.375000e-02,False
mae_W,Persistence,H32,7,6.337582e+01,54.598472,8.77735,3.498348,14.056352,0.0,1.562500e-02,1.537733,large,0,,True,9.375000e-02,False
mae_W,Persistence,H96,7,6.501318e+01,54.558743,10.454436,3.130055,17.778817,0.0,1.562500e-02,1.320076,large,0,,True,9.375000e-02,False
mae_W,Unified XGBoost,H1,7,4.221301e+01,42.33896,-0.125951,-1.578075,1.326172,14.0,1.000000e+00,-0.080217,negligible,3,,False,1.000000e+00,False
mae_W,Unified XGBoost,H4,7,5.186576e+01,70.526484,-18.660729,-30.581982,-6.739476,0.0,1.562500e-02,-1.447691,large,7,,True,9.375000e-02,False
mae_W,Unified XGBoost,H8,7,5.869012e+01,93.824106,-35.133987,-51.893539,-18.374435,0.0,1.562500e-02,-1.938806,large,7,,True,9.375000e-02,False
mae_W,Unified XGBoost,H16,7,6.375282e+01,126.896564,-63.143742,-88.625425,-37.66206,0.0,1.562500e-02,-2.291773,large,7,,True,9.375000e-02,False
mae_W,Unified XGBoost,H32,7,6.337582e+01,157.638358,-94.262535,-121.841112,-66.683959,0.0,1.562500e-02,-3.161088,large,7,,True,9.375000e-02,False
mae_W,Unified XGBoost,H96,7,6.501318e+01,211.339474,-146.326295,-177.225963,-115.426627,0.0,1.562500e-02,-4.379634,large,7,,True,9.375000e-02,False
r2,Persistence,H1,7,9.266870e-01,0.904179,0.022508,0.016042,0.028975,0.0,1.562500e-02,3.219213,large,7,,True,9.375000e-02,False
r2,Persistence,H4,7,9.154600e-01,0.90418,0.01128,0.004243,0.018317,0.0,1.562500e-02,1.482429,large,7,,True,9.375000e-02,False
r2,Persistence,H8,7,9.058990e-01,0.904135,0.001763,-0.007162,0.010688,12.0,8.125000e-01,0.182704,negligible,3,,False,8.125000e-01,False
r2,Persistence,H16,7,8.975390e-01,0.90409,-0.006551,-0.018084,0.004982,6.0,2.187500e-01,-0.525308,medium,1,,False,6.562500e-01,False
r2,Persistence,H32,7,8.968350e-01,0.904037,-0.007202,-0.017295,0.002891,6.0,2.187500e-01,-0.659951,medium,1,,False,6.562500e-01,False
r2,Persistence,H96,7,8.928120e-01,0.90392,-0.011108,-0.022363,0.000147,4.0,1.093750e-01,-0.912777,large,1,,False,4.375000e-01,False
r2,Unified XGBoost,H1,7,9.266870e-01,0.926259,0.000428,-0.002158,0.003014,12.0,8.125000e-01,0.153082,negligible,3,,False,8.125000e-01,False
r2,Unified XGBoost,H4,7,9.154600e-01,0.847864,0.067596,0.025405,0.109787,0.0,1.562500e-02,1.481732,large,7,,True,9.375000e-02,False
r2,Unified XGBoost,H8,7,9.058990e-01,0.775391,0.130508,0.072439,0.188577,0.0,1.562500e-02,2.078549,large,7,,True,9.375000e-02,False
r2,Unified XGBoost,H16,7,8.975390e-01,0.632986,0.264553,0.154216,0.37489,0.0,1.562500e-02,2.217488,large,7,,True,9.375000e-02,False
r2,Unified XGBoost,H32,7,8.968350e-01,0.474438,0.422397,0.272723,0.572071,0.0,1.562500e-02,2.610024,large,7,,True,9.375000e-02,False
r2,Unified XGBoost,H96,7,8.928120e-01,0.156083,0.736729,0.575056,0.898401,0.0,1.562500e-02,4.214447,large,7,,True,9.375000e-02,False
rmse_W,Persistence,H1,7,7.369248e+01,85.257788,-11.565307,-14.962639,-8.167976,0.0,1.562500e-02,-3.14839,large,7,,True,9.375000e-02,False
rmse_W,Persistence,H4,7,8.001908e+01,85.258957,-5.239879,-7.619289,-2.860468,0.0,1.562500e-02,-2.036672,large,7,,True,9.375000e-02,False
rmse_W,Persistence,H8,7,8.512048e+01,85.263885,-0.143402,-3.618968,3.332164,13.0,9.375000e-01,-0.038159,negligible,3,,False,9.375000e-01,False
rmse_W,Persistence,H16,7,8.914878e+01,85.26821,3.880573,-1.830544,9.59169,4.0,1.093750e-01,0.628411,medium,1,,False,3.281250e-01,False
rmse_W,Persistence,H32,7,8.915260e+01,85.253606,3.898997,-0.107942,7.905936,4.0,1.093750e-01,0.899932,large,1,,False,3.281250e-01,False
rmse_W,Persistence,H96,7,9.093315e+01,85.128841,5.804312,0.394573,11.214051,1.0,3.125000e-02,0.992302,large,1,,True,1.250000e-01,False
rmse_W,Unified XGBoost,H1,7,7.369248e+01,73.893625,-0.201144,-1.678851,1.276563,13.0,9.375000e-01,-0.125889,negligible,3,,False,9.375000e-01,False
rmse_W,Unified XGBoost,H4,7,8.001908e+01,107.108617,-27.089539,-40.673547,-13.505531,0.0,1.562500e-02,-1.844349,large,7,,True,9.375000e-02,False
rmse_W,Unified XGBoost,H8,7,8.512048e+01,131.986643,-46.86616,-64.927964,-28.804356,0.0,1.562500e-02,-2.399759,large,7,,True,9.375000e-02,False
rmse_W,Unified XGBoost,H16,7,8.914878e+01,168.984872,-79.836089,-107.60792,-52.064258,0.0,1.562500e-02,-2.658668,large,7,,True,9.375000e-02,False
rmse_W,Unified XGBoost,H32,7,8.915260e+01,201.707945,-112.555342,-143.467306,-81.643378,0.0,1.562500e-02,-3.367509,large,7,,True,9.375000e-02,False
rmse_W,Unified XGBoost,H96,7,9.093315e+01,257.479509,-166.546356,-202.939197,-130.153515,0.0,1.562500e-02,-4.232417,large,7,,True,9.375000e-02,False
skill,Unified XGBoost,H1,7,2.681900e-01,0.270719,-0.002528,-0.035126,0.030069,12.0,8.125000e-01,-0.07173,negligible,3,,False,8.125000e-01,False
skill,Unified XGBoost,H4,7,1.176960e-01,-0.563504,0.6812,0.39702,0.96538,0.0,1.562500e-02,2.21692,large,7,,True,9.375000e-02,False
skill,Unified XGBoost,H8,7,-2.682000e-03,-1.453352,1.45067,0.911417,1.989922,0.0,1.562500e-02,2.487974,large,7,,True,9.375000e-02,False
skill,Unified XGBoost,H16,7,-1.037370e-01,-3.296471,3.192735,1.664082,4.721387,0.0,1.562500e-02,1.931627,large,7,,True,9.375000e-02,False
skill,Unified XGBoost,H32,7,-1.073350e-01,-5.577875,5.47054,2.164262,8.776817,0.0,1.562500e-02,1.530242,large,7,,True,9.375000e-02,False
skill,Unified XGBoost,H96,7,-1.549170e-01,-10.03774,9.882823,4.828958,14.936688,0.0,1.562500e-02,1.808534,large,7,,True,9.375000e-02,False
